Start: 100 1 3 8696696
5 3 2 12 1777199
10 12 3 21 3186010
15 21 7 30 4918890
20 30 8 39 6342899
25 39 12 48 8075785
30 48 15 57 9705554
35 57 13 66 10820740
40 66 29 75 13789368
45 75 24 84 14595287
50 84 22 93 15710329
55 93 20 102 16825479
60 102 24 113 18558047
65 113 34 124 20968285
70 124 27 135 21508852
75 135 34 146 23551167
80 146 44 157 25901549
85 157 40 168 26810669
90 168 38 180 28043911
95 180 49 192 30438346
100 192 55 204 32318486
