Start: 1000 1 1001 86889884
100 1001 49 1355 31715540 354
200 1355 100 2079 63431755 705
300 2079 137 4063 93603694 1042
400 4063 191 6732 125761500 1396
500 6732 261 10107 159273264 1766
600 10107 294 14113 189328367 2099
700 14113 367 18840 223325036 2472
800 18840 393 24189 252422952 2798
900 24189 457 30222 285671334 3162
1000 30222 514 36945 317783771 3519
