Start: 1000 1 1358 86908796
100 1358 49 2064 31774742 354
200 2064 97 3464 63122824 702
300 3464 153 5568 95251154 1058
400 5568 197 8364 126439476 1402
500 8364 250 11870 158199535 1755
600 11870 303 16087 190136540 2108
700 16087 352 20991 221898689 2457
800 20991 381 26566 251068980 2786
900 26566 448 32861 284447619 3153
1000 32862 496 39842 315751595 3501
