Start: 1000 1 1395 86889656
100 1395 45 1950 31303492 350
200 1950 107 3077 64211576 712
300 3077 161 4771 96134416 1066
400 4771 172 6971 123685949 1377
500 6971 263 9783 159538424 1768
600 9783 300 13134 189768995 2105
700 13134 345 17049 220823230 2450
800 17049 413 21538 254660678 2818
900 21538 476 26607 287213527 3181
1000 26607 503 32196 316651176 3508
