Start: 1001 1 1514 86957701
100 1514 52 2154 32024447 357
200 3091 98 4352 63166535 703
300 5913 154 7815 95472087 1059
400 10030 197 12542 126262002 1402
500 15374 252 18511 158523525 1757
600 21971 297 25745 189459224 2102
700 29810 366 34242 223222675 2471
800 38946 396 43969 252495075 2801
900 49307 436 54970 283034505 3141
1000 60957 501 67295 316267036 3506
