Start: 1000 1 1001 86928212
100 1001 49 1719 31715396 354
200 1719 83 3147 61681010 688
300 3147 166 5334 96649305 1071
400 5334 195 8223 126054832 1400
500 8223 251 11820 158361578 1756
600 11820 290 16158 189034567 2095
700 16159 340 21187 220602899 2445
800 21187 405 26948 253599822 2810
900 26948 482 33545 287773075 3187
1000 33545 517 40746 317856890 3522
